"category_id","category_name"
258169,Metalworking Equipment Replacement Parts
260871,Corbels & Supports
20651,Other Kitchen Tools & Gadgets
36002,"Paddock Pals, 6 x 5 Inch"
30562,Wall Paneling & Wainscoting
162943,Incense Burners
260207,Rotary Tool Accessories
2907,Other Darts
20706,Light Bulbs
125033,Rivets
29467,"1940-59"
262016,Collections & Lots
4201,Film
73427,Posters
182935,Carbon Fiber Square Tubes
39489,Bars & Rounds
69855,"1970s"
7288,"Inductors, Coils & Filters"
14083,Spools & Thread
182943,Soldering & Rework Stations
181151,Socks
184241,Poly Tubing
65452,Gearmotors
1375,Other Contemp Disney Figurines
3191,Other Home Plumbing & Fixtures
11971,Barber (1892-1915)
88468,Car Speakerphones
109119,Rear Shocks
260412,Golf Club Weights
184133,Mixing Valves
32878,Vanities & Makeup Tables
258548,Brush Glass Washers & Polishers
146356,Embroidery Machine Patterns
170040,Portuguese
258485,"Gelatin Shot Racks, Syringes & Kits"
159092,Other Camping Lights
183860,Turnout Hats & Helmets
162142,Botswana
11720,SLR Cameras
159689,Surgical Retractors
261695,Chopping Boards
127409,Laos
167992,Cities & Towns
182209,"Adhesives, Paints & Finishing"
102485,Self Employment
58196,Cut-Off & Chop Wheels
183825,Electromagnetic Locks
117413,Figurines
171206,Price Guides
70903,Other Racquet Sport Clothing
10784,Life Savers
13589,Baking Powder
163829,"Other TV, Video & Home Audio"
175687,Power Inverters
156282,Beer
137839,Necklaces & Pendants
37856,Jewelry & Pins
20189,Mixed Lots
102547,Clothing
260638,"Spray Gun Attachments, Tips & Tip Guards"
123786,Bhutan
535,Other Australian Coins
261996,Bracelets & Charms
29519,Tillers
260440,Industrial Water Heater Accessories
185052,Surveillance Illuminators
1636,Retired
139872,Hedge & Grass Shears
182922,Metal & Alloy Channels
116309,Microphones
185196,Fiber Optic Illuminators/Light Sources
13969,Books
162935,Heating Grates & Vents
101915,Scissors & Shears
162168,Bahamas
57012,Other Solder & Desolder Accessories
183894,"Safety Cones, Posts & Barriers"
161586,Glues & Pastes
14051,Private Aircraft
36437,Pregnancy Tests
176964,Gobrecht Dollars (1836-1839)
38048,Military
183130,Carving Tools & Stamps
71284,Toilets
260864,Wall Paneling & Wainscoting
258164,Drill Stops
50357,Photo & Video
20285,Canada
103927,Salt & Pepper Shakers
50940,Beverage & Snack Vending Parts & Accessories
165645,Rotring
85979,Garbage
260316,"3D Scanner Accessories"
50193,Aprons & Regalia
181349,Baseball Pants
181038,Insect Repellent Sprays
38,Other Coca-Cola Ads
36865,Eye Shadow
109484,Heat Exchangers
260030,Swimwear
182146,Other Accessories
108861,"Vai, Steve"
13875,Saws
476,Refrigerator Magnets
131093,Mounts & Holders
162940,Armor
66796,Winches
158719,Alliance & Empire
261609,Replacement Parts & Tools
179803,Balance Trainers
11760,Manufacturing
104933,Other Rock & Pop Artists K
181390,Camping Storage
20658,Napkin Rings & Holders
542,Other South American Coins
163973,Audioslave
181399,Camping Wash Basins
170054,Kitchen
66696,Infant Car Seat 5-20 lbs
258547,Booster Water Heaters
163088,Maritime Pulleys
41456,"Sticks, Brushes & Mallets"
46586,Circular Saws
184052,Other Pipe Tools
262313,Lamps & Lights
260291,Solenoid Valves & Coils
183859,Turnout Coats
122491,Albania
258742,Concession Condiment Systems
179827,Jackets & Vests
836,"Tydol, Veedol & Flying A"
168078,"Thread, Floss"
64052,Print Servers
183134,Hollow Punching Tools
41386,Stabilizers
159171,Hats & Headwear
163877,Current Releases
31372,Punch Presses
11888,Snack & Food Machines
29930,Concert Memorabilia
159697,Microtomes
259282,Hydropower Turbines
182141,Mouthpieces
162161,Lebanon
258011,Pretzels & Nibbles
260793,Piercing Kits
20373,"Faceplates, Decals & Stickers"
71010,Watches
73181,Chalk
2832,Other Autographed NFL Items
102951,Markers & Crayons
4169,"1964-65 New York"
2312,Other Entertainment Mem
260859,Commercial Floor & Wall Tile Accessories
13751,Beads & Beadwork
182000,Pressure Calibrators
53273,Radiohead
86950,Pontiac
171783,Seller Category 2
184272,Shipping Tags
45333,Flats
262346,Dolls & Doll Playsets
259170,Garage Door Cables & Pulls
37932,Tables
165566,Cookie Stamps
44078,Body Mass Monitors & Scales
158773,Bookmarks
31387,Wristwatches
260476,Gas Conversion Kits
260895,Handrails
124638,Rotary Gear Pumps
61395,"Other TV, Video & Audio Accs"
162024,Bath Tub Seats & Rings
101436,Cabochons
63622,Sugar Bowls & Tongs
25471,Pre-1940
78190,General Purpose DC Drives
4184,Israel
119237,Tuning Tools
176983,Cassettes
260926,Planters & Vases
66889,Tillers & Trenchers
88888,Shoulder Bags
177664,False Eyelashes & Adhesives
260427,Gas Conversion Kits
85982,Other Good Charlotte Mem
156233,Portuguese Water Dog
175726,GPS Chargers & Batteries
181984,Infrared & Laser Thermometers
179686,Jigs & Templates
63589,Other Antique Furniture
158998,Other Bicycle Accessories
2365,Other Theater Playbills
262018,Jewelry Findings
20180,Playing Cards
177882,Snap Caps
159029,Clothing & Protective Gear
258728,Gravy & Sauce Boats
259198,"Paint Buckets, Cups & Trays"
262405,Thimbles
52554,Video Media Accessories
71167,Other Surfing Accessories
50717,Bedlington Terrier
179346,Micronesia
35630,Hats & Caps
73537,Pilot
11662,Graters & Zesters
157026,Magnets
18824,Black & White
183407,Shampoo & Conditioner
139601,Halters
159711,Other Office Equipment
75579,Other Bird & Wildlife Accs
109293,Hammer Drills
